Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Predicted
2011-07-18,5581.75,5596.6,5550.95,5567.05,73604991,3305.34,5636.3413
2011-07-19,5569.85,5627.65,5557.2,5613.55,86555649,3983.28,5600.136
2011-07-20,5642.05,5645.4,5555.1,5567.05,87093214,3825.45,5625.3677
2011-07-21,5554.6,5578.9,5532.7,5541.6,76327640,3681.07,5645.1333
2011-07-22,5576.95,5642.2,5567.1,5633.95,106781617,5040.43,5584.5205
2011-07-25,5633.8,5700.55,5616.7,5680.3,142008190,5622.44,5637.5337
2011-07-26,5688.45,5702.25,5560.15,5574.85,134108563,6270.33,5698.774
2011-07-27,5588.55,5591.7,5521.5,5546.8,122321153,5358.36,5704.987
2011-07-28,5492.4,5512.1,5475.65,5487.75,164522151,6883.18,5600.347
2011-07-29,5479.0,5520.3,5453.95,5482.0,156128914,5901.53,5516.7275
2011-08-01,5527.5,5551.9,5486.45,5516.8,98962726,4048.98,5519.8022
2011-08-02,5493.2,5496.3,5433.65,5456.55,110372244,4236.41,5553.037
2011-08-03,5402.0,5422.6,5378.85,5404.8,133223864,5339.25,5505.4824
2011-08-04,5412.4,5434.5,5323.15,5331.8,118482440,4820.07,5431.7056
2011-08-05,5204.35,5229.65,5116.45,5211.25,196016865,7543.44,5435.936
2011-08-08,5083.85,5204.2,5054.05,5118.5,188307028,7326.93,5251.0103
2011-08-09,4947.9,5167.0,4946.45,5072.85,233869015,9385.01,5208.118
2011-08-10,5196.55,5197.95,5123.35,5161.0,158404456,6289.41,5174.6
2011-08-11,5128.0,5184.95,5121.0,5138.3,113043482,4723.01,5200.9463
2011-08-12,5194.4,5194.45,5053.35,5072.95,128834807,5909.91,5193.367
2011-08-16,5125.75,5132.2,5015.4,5035.8,130896704,5081.61,5199.878
2011-08-17,5030.3,5112.15,5017.25,5056.6,143342008,5472.63,5143.927
