Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Predicted High
17-05-2011,5496.1,5523.85,5421.05,5438.95,109199263,6356.9,5615.7524
18-05-2011,5448.2,5460.5,5401.25,5420.6,107357672,6250.15,5587.661
19-05-2011,5448.15,5452.6,5411.25,5428.1,94180687,5509.73,5532.546
20-05-2011,5450.65,5517.55,5432.75,5486.35,127399855,5791.89,5512.6157
23-05-2011,5456.7,5456.7,5373,5386.55,94674110,5037.85,5562.6113
24-05-2011,5385.1,5422.6,5367.45,5394.85,100052471,4819.47,5533.1426
25-05-2011,5389.1,5389.1,5328.7,5348.95,99917758,5133.01,5494.8506
26-05-2011,5372.75,5422.2,5356.35,5412.35,161608076,7601.74,5458.8438
27-05-2011,5413.7,5485.8,5413.6,5476.1,117233303,5553.69,5476.7827
30-05-2011,5493.75,5509.3,5458.6,5473.1,100764849,4451.38,5535.5625
31-05-2011,5492,5571.6,5489.7,5560.15,149409715,6946.23,5571.484
01-06-2011,5561.05,5597.35,5559.45,5592,98629277,4670.86,5626.7695
02-06-2011,5529.9,5568.2,5521.95,5550.35,110949186,4709.42,5659.567
03-06-2011,5565.7,5604.95,5507.2,5516.75,101017578,4757.1,5640.6094
06-06-2011,5504.3,5542.65,5479.85,5532.05,77137320,3486.68,5659.4053
07-06-2011,5509.15,5570.1,5507.8,5556.15,81858402,3830.7,5615.6304
08-06-2011,5535.25,5556.6,5514.9,5526.85,92928675,3869.33,5622.1133
09-06-2011,5523.55,5540.1,5502.05,5521.05,87033655,3859.17,5615.986
10-06-2011,5518.05,5521.45,5457.45,5485.8,84190282,3995.15,5601.03
13-06-2011,5469.85,5496.7,5436.95,5482.8,80104906,3807.22,5582.3105
14-06-2011,5485.6,5520.15,5484.2,5500.5,97840485,4714.26,5558.3765
15-06-2011,5494.45,5499.35,5438.95,5447.5,95878889,4562.47,5571.1245
16-06-2011,5419.65,5447.5,5389.8,5396.75,128063494,5341.03,5560.8066
17-06-2011,5412.5,5421.15,5355.85,5366.4,97876272,4480.59,5516.674
20-06-2011,5372.2,5377.4,5195.9,5257.9,135334880,5956.17,5483.474
21-06-2011,5280.8,5322.45,5257,5275.85,107191673,4765.02,5442.7725
22-06-2011,5304.65,5310.5,5262.5,5278.3,95769497,4151.39,5391.025
23-06-2011,5269.1,5330.6,5252.25,5320,89001344,3756.75,5369.986
24-06-2011,5343.4,5477.85,5343.4,5471.25,140100077,6791.8,5384.4014
27-06-2011,5441.2,5552.65,5434.25,5526.6,143402407,6707.54,5507.029
28-06-2011,5548.85,5558.3,5496.35,5545.3,114413706,5127.85,5603.6167
29-06-2011,5566.5,5608.65,5566.5,5600.45,124593981,5463.96,5628.0547
30-06-2011,5614.5,5657.9,5606.1,5647.4,179224275,8133.27,5665.2764
01-07-2011,5705.75,5705.8,5609.75,5627.2,141092473,5590.28,5710.228
04-07-2011,5679.55,5679.65,5633.1,5650.5,103528865,4266.62,5756.4634
05-07-2011,5659.85,5659.85,5612.3,5632.1,100776400,4938.19,5744.0723
06-07-2011,5622.7,5655.4,5610.75,5625.45,86109914,4239.98,5719.51
07-07-2011,5633.35,5737.15,5632.95,5728.95,112220298,5439.55,5707.908
08-07-2011,5734.65,5740.4,5651.05,5660.65,129276449,5659.53,5770.389
11-07-2011,5648.05,5652.9,5601.7,5616.1,78899703,3579.63,5792.108
12-07-2011,5556.9,5580.25,5496.95,5526.15,104907108,5294.13,5724.5635
13-07-2011,5542.05,5596.15,5541.4,5585.45,106019573,4702.05,5644.798
14-07-2011,5569,5653.95,5541.7,5599.8,123015471,5390.44,5637.805
15-07-2011,5602.95,5631.7,5562.75,5581.1,80426784,3668.42,5688.107
18-07-2011,5581.75,5596.6,5550.95,5567.05,73604991,3305.34,5687.8394
19-07-2011,5569.85,5627.65,5557.2,5613.55,86555649,3983.28,5657.3833
20-07-2011,5642.05,5645.4,5555.1,5567.05,87093214,3825.45,5672.457
21-07-2011,5554.6,5578.9,5532.7,5541.6,76327640,3681.07,5693.015
22-07-2011,5576.95,5642.2,5567.1,5633.95,106781617,5040.43,5646.032
25-07-2011,5633.8,5700.55,5616.7,5680.3,142008190,5622.44,5680.571
26-07-2011,5688.45,5702.25,5560.15,5574.85,134108563,6270.33,5740.221
27-07-2011,5588.55,5591.7,5521.5,5546.8,122321153,5358.36,5757.287
28-07-2011,5492.4,5512.1,5475.65,5487.75,164522151,6883.18,5670.2876
29-07-2011,5479,5520.3,5453.95,5482,156128914,5901.53,5579.802
01-08-2011,5527.5,5551.9,5486.45,5516.8,98962726,4048.98,5565.067
02-08-2011,5493.2,5496.3,5433.65,5456.55,110372244,4236.41,5593.765
03-08-2011,5402,5422.6,5378.85,5404.8,133223864,5339.25,5562.4663
04-08-2011,5412.4,5434.5,5323.15,5331.8,118482440,4820.07,5494.9316
05-08-2011,5204.35,5229.65,5116.45,5211.25,196016865,7543.44,5486.4736
08-08-2011,5083.85,5204.2,5054.05,5118.5,188307028,7326.93,5330.8496
09-08-2011,4947.9,5167,4946.45,5072.85,233869015,9385.01,5265.387
10-08-2011,5196.55,5197.95,5123.35,5161,158404456,6289.41,5229.3584
11-08-2011,5128,5184.95,5121,5138.3,113043482,4723.01,5250.4253
12-08-2011,5194.4,5194.45,5053.35,5072.95,128834807,5909.91,5253.1206
16-08-2011,5125.75,5132.2,5015.4,5035.8,130896704,5081.61,5261.914
17-08-2011,5030.3,5112.15,5017.25,5056.6,143342008,5472.63,5217.396
18-08-2011,5077.95,5078.6,4932.15,4944.15,139816131,5686.22,5187.3823
19-08-2011,4859.3,4893.6,4796.1,4845.65,166702431,7317.33,5155.5815
22-08-2011,4843.7,4910.05,4808.75,4898.8,123813921,5186.04,5007.6997
23-08-2011,4925.15,4965.8,4863.8,4948.9,130010440,5519.36,4975.061
24-08-2011,4934.35,4962.4,4875.3,4888.9,129410652,5241.5,5019.6763
25-08-2011,4914.65,4915.85,4825.05,4839.6,184913414,7921.11,5037.9043
26-08-2011,4839.25,4872,4720,4747.8,149717732,5850.84,5007.1963
29-08-2011,4806.2,4934.4,4806.05,4919.6,145125304,5576.71,4962.4897
30-08-2011,4973.25,5016.25,4927.55,5001,181539730,7051.77,4996.9473
02-09-2011,5109.8,5113.7,4993.35,5040,195055967,7689.7,5074.737
05-09-2011,4998.9,5030.3,4964.45,5017.2,162898218,6359.59,5173.141
06-09-2011,4993.35,5072.9,4942.9,5064.3,183680006,7278,5134.8843
07-09-2011,5080.15,5154.5,5076.3,5124.65,193856202,6883.16,5145.1777
08-09-2011,5139.2,5169.25,5098.25,5153.25,140855342,6093.78,5211.3027
09-09-2011,5161.3,5163.75,5046.8,5059.45,158713071,6482.27,5242.27
12-09-2011,4981.7,4985.6,4911.25,4946.8,135500219,5175.51,5241.8125
13-09-2011,4977.8,5030.15,4911.05,4940.95,146005268,5305.87,5101.0264
14-09-2011,4965.05,5026.15,4917.4,5012.55,154276761,6416.57,5087.548
15-09-2011,5062.35,5091.45,4967.45,5075.7,153648925,5935.88,5090.378
16-09-2011,5123.35,5143.6,5068.1,5084.25,225187238,8379.56,5144.1426
19-09-2011,5068.4,5068.4,5019.25,5031.95,115737842,4042.27,5202.525
20-09-2011,5042.55,5149.9,5035.25,5140.2,146599496,5504.69,5159.6772
21-09-2011,5153.75,5168.4,5109.85,5133.25,132918171,5142.01,5202.4346
22-09-2011,5054.45,5059.85,4907.75,4923.65,147608376,5675.35,5232.089
23-09-2011,4873.75,4930.25,4829.6,4867.75,205769423,7364.65,5154.622
26-09-2011,4878.6,4879.8,4758.85,4835.4,156079487,5475.64,5027.487
27-09-2011,4905.15,4982.95,4905.15,4971.25,151313966,5284.66,4952.585
28-09-2011,5005.5,5006.05,4918.45,4945.9,166872414,6078.49,5016.9966
29-09-2011,4924.2,5034.25,4906,5015.45,216156088,8284.97,5064.99
30-09-2011,4990.15,5025.55,4924.3,4943.25,201962105,6764.12,5099.871
03-10-2011,4874.4,4879.15,4823.9,4849.5,148921569,5230.17,5100.9946
04-10-2011,4823.5,4869.75,4728.3,4772.15,184413296,6736.87,4986.43
05-10-2011,4791.3,4827.8,4741,4751.3,179140481,6385.35,4940.091
07-10-2011,4883.65,4922.6,4861.2,4888.05,198288782,6914.62,4901.684
10-10-2011,4886.85,4991.15,4882.05,4979.6,188839545,6247.21,4966.0503
11-10-2011,5019.9,5045.1,4964,4974.35,182038763,6386.8,5044.9453
12-10-2011,5011.2,5109.8,4997.65,5099.4,188008562,7528.09,5108.7866
13-10-2011,5130.8,5136.95,5067.65,5077.85,157302816,6319.82,5172.575
14-10-2011,5057.35,5141.4,5056.6,5132.3,157781872,6140.27,5207.3516
17-10-2011,5156.2,5160.2,5084.5,5118.25,130460983,5029.13,5214.7583
18-10-2011,5049.45,5057.5,5011.05,5037.5,125550565,5148.86,5226.498
19-10-2011,5080.45,5148.05,5075.3,5139.15,117468754,4776.09,5149.1494
20-10-2011,5086.55,5099,5033.95,5091.9,119333986,4582.47,5191.479
21-10-2011,5106.6,5120.75,5037.95,5049.95,109893599,4733.71,5173.0444
24-10-2011,5114.7,5145.65,5084.75,5098.35,126073195,4927.43,5181.3228
25-10-2011,5137.9,5211,5085.55,5191.6,221084588,9967.24,5204.282
26-10-2011,5214.95,5219.25,5196.15,5201.8,27496887,1059.46,5261.375
28-10-2011,5341.9,5399.7,5322.8,5360.7,246078412,9151.2,5283.9736
31-10-2011,5358.9,5360.25,5314.6,5326.6,149483502,5937.99,5425.844
01-11-2011,5278.6,5310.85,5238.3,5257.95,152491922,5651.67,5436.3574
02-11-2011,5216.75,5300.1,5204.95,5258.45,144375106,4918.34,5388.7783
03-11-2011,5241.55,5281.6,5201.85,5265.75,160282802,5716.17,5361.4375
04-11-2011,5325.4,5326.45,5256.8,5284.2,149015829,5401.13,5340.3555
08-11-2011,5292.25,5304.25,5252,5289.35,120652007,4159.75,5370.607
09-11-2011,5309.7,5317.5,5211.75,5221.05,146428609,6720.83,5365.0864
11-11-2011,5159.75,5198.6,5142.25,5168.85,168514208,6929.85,5371.961
14-11-2011,5217.35,5228.9,5140.55,5148.35,134448100,5263.81,5282.4507
15-11-2011,5131.2,5158.75,5052.85,5068.5,149592578,5201.21,5277.089
16-11-2011,5059.1,5065.2,4989.5,5030.45,161406885,5757.81,5228.366
17-11-2011,5027.1,5036.8,4919.45,4934.75,149238976,5277.65,5143.2344
18-11-2011,4899.15,4915.9,4837.95,4905.8,192274363,6481.17,5099.0283
21-11-2011,4873.8,4873.8,4764.8,4778.35,154119333,5509.53,5001.01
22-11-2011,4794.85,4854,4782.55,4812.35,174212435,6275.86,4942.779
23-11-2011,4779.5,4779.5,4640.95,4706.45,178819371,6199.31,4918.51
24-11-2011,4707.55,4771.1,4639.1,4756.45,213363083,7327.52,4861.9546
25-11-2011,4731.3,4767.3,4693.1,4710.05,162839558,5812.61,4841.148
28-11-2011,4769.3,4859.1,4766.4,4851.3,145259101,4869.41,4837.842
29-11-2011,4864.2,4866.1,4787.1,4805.1,155570321,5786.83,4909.7793
30-11-2011,4766.15,4851.55,4754.8,4832.05,282217865,11393.19,4941.525
01-12-2011,4970.85,5011.9,4916.7,4936.85,183915785,6699.33,4936.2935
02-12-2011,4940.85,5062.55,4918.4,5050.15,180190935,6527.43,5052.91
05-12-2011,5036.5,5055.4,5002.55,5039.15,137254409,4689.58,5130.246
07-12-2011,5050.1,5099.25,5032.25,5062.6,169428273,6005.21,5140.391
08-12-2011,5037.4,5049.05,4921.45,4943.65,178853365,6029.68,5168.7046
09-12-2011,4870.75,4918.35,4841.75,4866.7,173612823,6040.22,5136.0938
12-12-2011,4906.85,4910.25,4755.55,4764.6,178338170,5926,5022.137
13-12-2011,4733.6,4824.7,4728.5,4800.6,181043707,5816.38,4979.687
14-12-2011,4788.7,4839.55,4750.4,4763.25,176252160,6324.86,4909.9766
15-12-2011,4712.8,4768.65,4673.85,4746.35,200317864,6976.68,4903.035
16-12-2011,4752.5,4818.85,4628.2,4651.6,202060039,7284.93,4854.6387
19-12-2011,4623.15,4623.15,4555.9,4613.1,176447660,6302.29,4878.3857
20-12-2011,4635.8,4637.25,4531.15,4544.2,195304596,6279.01,4744.738
21-12-2011,4636.45,4707.35,4601.95,4693.15,211310871,6689.82,4708.292
22-12-2011,4636.9,4740.6,4632.95,4733.85,170789015,6017,4759.309
23-12-2011,4763.2,4763.45,4693.2,4714,141982548,4676.75,4807.408
26-12-2011,4718.15,4787.25,4718.15,4779,90847991,3034.39,4838.726
27-12-2011,4780.2,4800.5,4723.65,4750.5,104828343,3342.15,4863.36
28-12-2011,4756.2,4756.2,4685.65,4705.8,117463489,3657.52,4878.242
29-12-2011,4681.15,4701.8,4639.05,4646.25,146003804,5137.28,4846.898
30-12-2011,4659.95,4690.45,4608.9,4624.3,113900727,3785.33,4793.1455
02-01-2012,4640.2,4645.95,4588.05,4636.75,108460668,3590.96,4768.0044
03-01-2012,4675.8,4773.1,4675.8,4765.3,146621115,5021.29,4730.755
04-01-2012,4774.95,4782.85,4728.85,4749.65,165938849,5661.16,4816.187
05-01-2012,4749,4779.8,4730.15,4749.95,177862936,5873.79,4857.3286
06-01-2012,4724.15,4794.9,4686.85,4754.1,176057282,5234.69,4863.0283
07-01-2012,4755.6,4759.4,4743.05,4746.9,18783880,414.88,4871.834
09-01-2012,4747.55,4758.7,4695.45,4742.8,147534537,4548.3,4846.2515
10-01-2012,4771.85,4855.9,4768.25,4849.55,201661174,6222.27,4835.2754
11-01-2012,4863.15,4877.2,4841.6,4860.95,209079758,6364,4906.171
12-01-2012,4840.95,4869.2,4803.9,4831.25,183068697,7271.44,4947.4487
13-01-2012,4861.95,4898.85,4834.2,4866,230940604,7117.5,4949.5776
16-01-2012,4844,4880.8,4827.05,4873.9,160479891,5297.89,4967.9985
17-01-2012,4904.5,4975.55,4904,4967.3,223004183,7170.72,4958.8286
18-01-2012,4977.75,4980.65,4931.05,4955.8,211198796,7424.79,5025.1514
19-01-2012,4995,5023.8,4991.4,5018.4,203487608,6634.33,5051.1147
20-01-2012,5044.85,5064.15,5004.3,5048.6,221048007,8120.35,5086.757
23-01-2012,5025.35,5059.55,5021.35,5046.25,158177571,5934.04,5125.7363
24-01-2012,5064.8,5141.05,5049.8,5127.35,202006565,8172.43,5130.7534
25-01-2012,5151.5,5174.15,5130.25,5158.3,219175709,8156.04,5190.2153
27-01-2012,5216.75,5217,5162.4,5204.7,215923377,7881.15,5233.05
30-01-2012,5163.55,5166.15,5076.7,5087.3,181141437,6181.32,5274.09
31-01-2012,5125.25,5215.4,5120.15,5199.25,215770719,8075.54,5242.976
01-02-2012,5198.15,5244.6,5159,5235.7,234899358,8066.68,5265.9604
02-02-2012,5272.1,5289.95,5225.75,5269.9,337960651,11126.39,5296.655
03-02-2012,5276.1,5334.85,5255.55,5325.85,217358188,7573.02,5339.3423
06-02-2012,5379.45,5390.05,5327.25,5361.65,215080487,7703.06,5384.607
07-02-2012,5412.95,5413.35,5322.95,5335.15,181194561,6797.14,5437.421
08-02-2012,5343.8,5396.9,5325.2,5368.15,236135416,9359.98,5467.117
09-02-2012,5343.05,5423.4,5338.9,5412.35,255306965,8143.96,5457.791
10-02-2012,5399.8,5427.75,5341.05,5381.6,225352093,7396.34,5471.504
13-02-2012,5382.1,5421.05,5351.4,5390.2,181561910,6738,5478.4395
14-02-2012,5380.8,5428.05,5377.95,5416.05,201409996,6693.43,5473.8306
15-02-2012,5460.6,5542.1,5460.6,5531.95,314366096,9958.28,5476.9707
16-02-2012,5513.75,5531.4,5483.75,5521.95,270060477,9053.45,5567.348
17-02-2012,5574.2,5606.7,5545.2,5564.3,329307516,11512.01,5586.2275
21-02-2012,5561.9,5621.5,5561.75,5607.15,231132126,8169.38,5644.2183
22-02-2012,5609.75,5629.95,5491.35,5505.35,263013427,9694.44,5670.1396
23-02-2012,5490.05,5537.4,5460.8,5483.3,307246519,9987.65,5678.951
24-02-2012,5479.15,5521.4,5405.9,5429.3,364660634,17356.76,5605.226
27-02-2012,5448.1,5449.8,5268.15,5281.2,235318961,7706.81,5569.011
28-02-2012,5310.5,5391.1,5306.45,5375.5,208133889,7815.9,5507.241
29-02-2012,5424.95,5458.8,5352.25,5385.2,226022232,8454.41,5446.9653
01-03-2012,5366,5372.45,5297.5,5339.75,196867905,6847.63,5487.771
02-03-2012,5369.45,5392.55,5315.05,5359.35,185021526,6768.52,5439.7944
03-03-2012,5360.05,5369.6,5353.4,5359.4,16770991,429.35,5440.0244
05-03-2012,5342.55,5344.5,5265.7,5280.35,196421155,6036.63,5426.591
06-03-2012,5266,5382.05,5206.4,5222.4,290396014,9319.01,5404.297
07-03-2012,5207.05,5243.85,5171.45,5220.45,230726017,7173.14,5428.5356
09-03-2012,5294.1,5342.3,5291.6,5333.55,203005845,7080.66,5331.517
12-03-2012,5420.1,5421.9,5327.3,5359.55,176668237,6484.38,5376.7173
13-03-2012,5391.05,5438.65,5390.8,5429.5,179965296,5907.14,5460.7725
14-03-2012,5490.55,5499.4,5437.8,5463.9,181714070,7345.67,5498.495
15-03-2012,5462.5,5462.5,5362.3,5380.5,160257651,5961.15,5551.444
16-03-2012,5380.35,5445.65,5305,5317.9,267521147,9432.07,5534.4224
19-03-2012,5337.35,5340.7,5238.55,5257.05,179877454,6275.89,5510.6777
20-03-2012,5257.15,5297.35,5233.25,5274.85,181345285,6158,5421.448
21-03-2012,5267.2,5372.35,5256,5364.95,199787985,6807.02,5361.8887
22-03-2012,5361.1,5385.95,5205.65,5228.45,205581062,7359.89,5408.928
23-03-2012,5255.65,5312,5220,5278.2,172738574,6371.46,5440.7754
26-03-2012,5274.35,5274.95,5174.9,5184.25,169785835,5582.28,5391.6353
27-03-2012,5242.95,5277.95,5184.65,5243.15,208775421,7445.92,5345.388
28-03-2012,5231.7,5236.55,5169.6,5194.75,145803597,5411.63,5336.5146
29-03-2012,5145.95,5194.3,5135.95,5178.85,242557889,8632.05,5305.946
30-03-2012,5206.6,5307.1,5203.65,5295.55,164790056,6082.93,5265.6006
02-04-2012,5296.35,5331.55,5278.8,5317.9,134538287,4583.68,5343.178
03-04-2012,5353.2,5378.75,5344.45,5358.5,152496489,5256.86,5390.8364
04-04-2012,5328.65,5338.4,5305.3,5322.9,122106162,4084.37,5437.547
09-04-2012,5282.5,5287.9,5228,5234.4,111914936,3680.04,5416.0605
10-04-2012,5254.1,5255.8,5211.85,5243.6,156106794,4886.48,5365.174
11-04-2012,5209.45,5263.65,5190.8,5226.85,167013527,5585.7,5324.5425
12-04-2012,5246.75,5290.6,5246.75,5276.85,152684788,5457.29,5321.4507
13-04-2012,5255.7,5306.75,5185.4,5207.45,164225858,7989.27,5345.334
16-04-2012,5190.6,5233.5,5183.5,5226.2,119730347,5165.7,5366.789
17-04-2012,5266.6,5298.2,5208.35,5289.7,178895417,7416.66,5315.587
18-04-2012,5320.7,5342,5293.45,5300,152743439,5665.77,5347.637
19-04-2012,5320.6,5342.45,5291.3,5332.4,133549895,5313.33,5395.1714
20-04-2012,5313.95,5336.15,5245.45,5290.85,135252751,5086.54,5408.447
23-04-2012,5277.4,5310.55,5187.15,5200.6,138042341,5065.27,5403.5957
24-04-2012,5215.9,5232.35,5180.35,5222.65,155674654,7362.66,5380.0283
25-04-2012,5222.2,5236.1,5160.65,5202,142910739,5968.34,5311.673
26-04-2012,5214.75,5215.6,5179.05,5189,185899437,6408.49,5294.568
27-04-2012,5189,5223.05,5154.3,5190.6,128759445,5734.59,5278.9775
28-04-2012,5209.6,5216.4,5196.35,5209,6555703,297.89,5282.532
30-04-2012,5201.45,5262.15,5201.45,5248.15,108138550,4610.4,5280.7886
02-05-2012,5254.3,5279.6,5226.45,5239.15,119333288,4815.08,5316.0527
03-05-2012,5211.2,5217.3,5180.65,5188.4,118573998,5488.9,5341.1323
04-05-2012,5166.65,5177.2,5070.6,5086.85,153304687,6507.5,5298.2197
07-05-2012,5017.8,5124.75,4988,5114.15,168271798,6787.08,5251.156
08-05-2012,5114.7,5119.95,4983.6,4999.95,164262546,6233.26,5198.472
09-05-2012,4967.9,5016.25,4956.45,4974.8,180441209,6558.78,5182.036
10-05-2012,4984.15,5039.3,4950.3,4965.7,141031231,5430.14,5102.756
11-05-2012,4938.85,4976.25,4906.15,4928.9,138526070,5061.57,5097.4346
14-05-2012,4934.35,4957.2,4874.5,4907.8,126951751,5291.93,5055.1567
15-05-2012,4869.85,4955.2,4868.55,4942.8,142119571,5491.24,5029.1855
16-05-2012,4875.3,4882.25,4837.05,4858.25,165048505,6316.66,5023.6353
17-05-2012,4878.6,4922.25,4850.2,4870.2,155654031,5745.51,4969.9116
18-05-2012,4796.4,4908.5,4788.95,4891.45,154508649,6447.08,4983.8643
21-05-2012,4888.5,4937.5,4888.5,4906.05,116506971,4527.67,4983.23
22-05-2012,4954.7,4956.35,4849.9,4860.5,130808278,5074.37,5005.1855
23-05-2012,4843,4853.75,4803.95,4835.65,136108067,4854.15,5027.3486
24-05-2012,4863.4,4931.9,4830.15,4921.4,140474832,5012.08,4955.408
25-05-2012,4905.95,4935.8,4889.35,4920.4,118191157,4398.09,4988.3555
28-05-2012,4931.7,4994.95,4931.3,4985.65,97260991,3983.53,5007.755
29-05-2012,5005.35,5020.15,4982.15,4990.1,124219839,4923.56,5057.47
30-05-2012,4964.25,4982.25,4944.9,4950.75,146005250,5374.65,5091.507
31-05-2012,4896.1,4949.25,4883.55,4924.25,296911390,10662.01,5069.288
01-06-2012,4910.85,4925,4831.75,4841.6,138767416,4989.22,5032.81
04-06-2012,4797.3,4858.3,4770.35,4848.15,152339865,5143.54,5002.7397
05-06-2012,4869.45,4898.95,4847.7,4863.3,141476962,5016.41,4944.8066
06-06-2012,4886.65,5010.45,4886.15,4997.1,185340406,7188.42,4958.9536
07-06-2012,5035.35,5059.65,5007.75,5049.65,150558164,6077.37,5053.88
08-06-2012,5044.25,5084.45,4994.8,5068.35,138389395,5249.81,5123.198
11-06-2012,5096.7,5124.45,5040.7,5054.1,125615102,4813.82,5157.45
12-06-2012,5015.5,5128.9,5015.15,5115.9,135478015,5205.9,5191.8433
13-06-2012,5117.55,5144.9,5095.45,5121.45,125668126,5287.08,5201.2524
14-06-2012,5105.1,5130,5047.6,5054.75,118353366,4751.86,5211.8003
15-06-2012,5069.55,5146.2,5069.15,5139.05,155437144,5944,5201.261
18-06-2012,5174,5190.2,5041.7,5064.25,153461067,6005.83,5208.31
19-06-2012,5050.8,5113.6,5048.1,5103.85,149416155,5336.22,5244.4263
20-06-2012,5114.55,5141.7,5100.7,5120.55,160505645,5313.6,5196.2896
21-06-2012,5097.35,5170.4,5093.45,5165,142992948,5558.56,5199.1104
22-06-2012,5101.75,5159.8,5094,5146.05,159747192,5500.44,5225.005
25-06-2012,5158.5,5194.6,5105.65,5114.65,123503010,4894.04,5225.2764
26-06-2012,5107.45,5134.55,5095.5,5120.8,99404566,4119.69,5250.13
27-06-2012,5149.45,5160.1,5129.25,5141.9,112269218,4238.62,5211.3936
28-06-2012,5148.95,5159.05,5125.3,5149.15,143073791,5597.52,5216.2974
29-06-2012,5191.25,5286.25,5189,5278.9,226523598,8461.24,5219.5483
02-07-2012,5283.85,5302.15,5263.35,5278.6,126161441,4991.57,5318.7373
03-07-2012,5298.85,5317,5265.95,5287.95,133117055,5161.82,5362.5303
04-07-2012,5310.4,5317.65,5273.3,5302.55,155995887,5750.1,5379.9585
05-07-2012,5297.05,5333.65,5288.85,5327.3,118915392,4709.79,5380.615
06-07-2012,5324.7,5327.2,5287.75,5316.95,113300726,4760.51,5390.0986
09-07-2012,5283.7,5300.6,5257.75,5275.15,101169926,4189.25,5386.8315
10-07-2012,5286.6,5348.55,5284.55,5345.35,123947633,5024.13,5363.921
11-07-2012,5315.25,5336.45,5300.25,5306.3,113530679,5086.98,5393.861
12-07-2012,5240,5261.75,5217.7,5235.25,131190833,6193.59,5395.551
13-07-2012,5242.75,5267.15,5216.85,5227.25,99045088,4451.9,5336.3174
16-07-2012,5232.35,5246.85,5190.45,5197.25,106313144,4283.22,5321.56
17-07-2012,5228.05,5236.7,5181.7,5192.85,111768115,4719.2,5305.7656
18-07-2012,5199.1,5222.85,5169.05,5216.3,109647297,4759.52,5295.22
19-07-2012,5249.85,5257.75,5233.15,5242.7,109769282,5494.99,5283.3755
20-07-2012,5233.55,5238.7,5197.5,5205.1,89729408,4527.89,5308.2466
23-07-2012,5163.25,5164.2,5108.1,5117.95,104770324,4394.24,5303.0366
24-07-2012,5128.8,5144,5103.25,5128.2,116516931,4567.2,5242.6636
25-07-2012,5118.4,5121.6,5076.6,5109.6,130965621,4654.17,5208.304
26-07-2012,5126.3,5126.3,5032.4,5043,180131639,6920.23,5185.073
27-07-2012,5124.3,5149.95,5077.5,5099.85,131948378,5828.12,5185.271
30-07-2012,5129.75,5206.6,5129.75,5199.8,117523733,5278.7,5206.81
31-07-2012,5214.85,5234.55,5154.05,5229,147059808,6254.67,5258.618
01-08-2012,5220.7,5246.35,5212.65,5240.5,113815730,4408.19,5295.786
02-08-2012,5233.1,5236.9,5209.95,5227.75,92972386,3699.59,5312.6074
03-08-2012,5195.6,5220.2,5164.65,5215.7,112918653,4213.76,5306.756
